dataset,model,hidden_channels,lr,epochs,num_centers,AUC,AP
texas,LinkWIRE,256,0.01,2000,10,76.689453125,81.2257749792866
wisconsin,LinkWIRE,32,0.01,2000,3,79.13110342176087,81.24762611217722
wisconsin,LinkWIRE,32,0.01,2000,5,79.98269896193773,81.36304287755637
wisconsin,LinkWIRE,32,0.01,2000,6,79.96924259900038,81.83569854051662
wisconsin,LinkWIRE,32,0.01,2000,7,79.45021145713189,81.32573609296188
wisconsin,LinkWIRE,32,0.01,2000,8,79.93464052287582,81.573671099031
wisconsin,LinkWIRE,32,0.01,2000,9,79.88081507112649,81.56565890238203
wisconsin,LinkWIRE,32,0.01,2000,10,81.09957708573624,83.12573197010161
wisconsin,LinkWIRE,64,0.01,2000,3,80.43829296424451,82.16109852609846
wisconsin,LinkWIRE,64,0.01,2000,5,80.26143790849673,82.41810183118169
wisconsin,LinkWIRE,64,0.01,2000,6,82.44905805459437,82.91520768281832
wisconsin,LinkWIRE,64,0.01,2000,7,80.0,81.96304150056639
wisconsin,LinkWIRE,64,0.01,2000,8,81.55709342560552,82.63560527761665
wisconsin,LinkWIRE,64,0.01,2000,9,82.70665128796617,83.73323774043293
wisconsin,LinkWIRE,64,0.01,2000,10,81.47827758554402,83.0267280857587
wisconsin,LinkWIRE,128,0.01,2000,3,79.88658208381392,82.08254840362437
wisconsin,LinkWIRE,128,0.01,2000,5,80.21145713187235,82.02244292689143
wisconsin,LinkWIRE,128,0.01,2000,6,79.66551326412919,82.0144563735107
wisconsin,LinkWIRE,128,0.01,2000,7,80.23068050749713,81.93249226893705
wisconsin,LinkWIRE,128,0.01,2000,8,80.29796232218376,82.24795177674048
wisconsin,LinkWIRE,128,0.01,2000,9,80.31141868512111,82.05982989060321
wisconsin,LinkWIRE,128,0.01,2000,10,80.51518646674356,82.27439977300867
wisconsin,LinkWIRE,256,0.01,2000,3,79.82698961937716,81.7308988604305
wisconsin,LinkWIRE,256,0.01,2000,5,80.74971164936562,82.62528802376279
wisconsin,LinkWIRE,256,0.01,2000,6,79.21184159938485,81.49090246550023
wisconsin,LinkWIRE,256,0.01,2000,7,80.05382545174932,81.52299303222014
wisconsin,LinkWIRE,256,0.01,2000,8,79.75394079200308,82.64193278983095
wisconsin,LinkWIRE,256,0.01,2000,9,79.21184159938484,81.77303018894439
wisconsin,LinkWIRE,256,0.01,2000,10,80.44213763936948,82.26957549418658
cornell,LinkWIRE,32,0.01,2000,3,80.00594530321045,81.23578916983358
cornell,LinkWIRE,32,0.01,2000,5,79.9346016646849,83.377915483052
cornell,LinkWIRE,32,0.01,2000,6,81.84898929845423,83.19531512567829
cornell,LinkWIRE,32,0.01,2000,7,79.88703923900118,83.0848448843135
cornell,LinkWIRE,32,0.01,2000,8,81.38525564803804,84.19203316207596
cornell,LinkWIRE,32,0.01,2000,9,84.54815695600475,85.93704895725409
cornell,LinkWIRE,32,0.01,2000,10,80.64803804994055,82.57966181598417
cornell,LinkWIRE,64,0.01,2000,3,81.95600475624258,84.30277621141474
cornell,LinkWIRE,64,0.01,2000,5,82.07491082045186,83.48898799000094
cornell,LinkWIRE,64,0.01,2000,6,83.08561236623066,85.18306021049769
cora,LinkWIRE,32,0.01,2000,3,96.68067653466905,97.10815770885006
cora,LinkWIRE,32,0.01,2000,5,96.33842905595114,96.78279847650973
cora,LinkWIRE,32,0.01,2000,6,96.18448821904268,96.6383197782298
cora,LinkWIRE,32,0.01,2000,7,96.23631993890524,96.57598183726928
cora,LinkWIRE,32,0.01,2000,8,96.26385750544686,96.75153271823164
cora,LinkWIRE,32,0.01,2000,9,96.0939511691112,96.52324809063452
cora,LinkWIRE,32,0.01,2000,10,96.12272859998652,96.49599788213068
cora,LinkWIRE,64,0.01,2000,3,97.45317490622402,97.93630940041578
cora,LinkWIRE,64,0.01,2000,5,97.2386334538757,97.76750375276258
cora,LinkWIRE,64,0.01,2000,6,97.1124188585162,97.61780159896686
cora,LinkWIRE,64,0.01,2000,7,97.26884840861617,97.68380071877122
cora,LinkWIRE,64,0.01,2000,8,97.16498730935962,97.63275369212876
cora,LinkWIRE,64,0.01,2000,9,97.06748725320637,97.4948087613136
cora,LinkWIRE,64,0.01,2000,10,97.04917679297412,97.49714453611244
cora,LinkWIRE,128,0.01,2000,3,97.85994923743851,98.3942597028771
cora,LinkWIRE,128,0.01,2000,5,97.78971721210216,98.30951924565842
cora,LinkWIRE,128,0.01,2000,6,97.7531681678309,98.27345156428012
cora,LinkWIRE,128,0.01,2000,7,97.83966218189168,98.27053720194203
cora,LinkWIRE,128,0.01,2000,8,97.78854922396172,98.23454175188284
cora,LinkWIRE,128,0.01,2000,9,97.64317063857504,98.10687174542552
cora,LinkWIRE,128,0.01,2000,10,97.62477931762538,98.13627195511168
cora,LinkWIRE,256,0.01,2000,3,98.1737517126749,98.64219088437368
cora,LinkWIRE,256,0.01,2000,5,98.13032950742348,98.56982685726425
cora,LinkWIRE,256,0.01,2000,6,98.08895577367984,98.5920766993537
cora,LinkWIRE,256,0.01,2000,7,98.04384447788684,98.51280960853764
cora,LinkWIRE,256,0.01,2000,8,98.02082612699624,98.46150209480471
cora,LinkWIRE,256,0.01,2000,9,98.08714089980008,98.53394842898965
cora,LinkWIRE,256,0.01,2000,10,98.0515442150895,98.5065079458367
citeseer,LinkWIRE,32,0.01,2000,3,97.45443786982248,97.886962578512
citeseer,LinkWIRE,32,0.01,2000,5,97.15164835164836,97.63109087150094
citeseer,LinkWIRE,32,0.01,2000,6,97.18194662480376,97.63916618414412
citeseer,LinkWIRE,32,0.01,2000,7,97.39651008332328,97.82399305294656
citeseer,LinkWIRE,32,0.01,2000,8,97.15693756792658,97.6687311969394
citeseer,LinkWIRE,32,0.01,2000,9,97.29642555246951,97.764915726532
citeseer,LinkWIRE,32,0.01,2000,10,97.20963651732882,97.7407971970114
citeseer,LinkWIRE,64,0.01,2000,3,97.96546310832024,98.4806403220466
citeseer,LinkWIRE,64,0.01,2000,5,97.77413355874891,98.25431446555211
cora,LinkWIRE,256,0.01,600,3,97.57398081804092,98.01990767309012
citeseer,LinkWIRE,256,0.01,2000,3,98.64413718149984,99.01324681151851
squirrel,LinkWIRE,128,0.01,500,8,94.50320890118412,94.81667072713472
squirrel,LinkWIRE,512,0.01,500,4,96.19776722722034,96.88024518152147
pubmed,LinkWIRE,1024,0.0001,500,3,98.53499378443531,98.26181123208984
citeseer,LinkWIRE,1024,0.0001,500,3,99.56429175220384,99.6195862750112
cora,LinkWIRE,1024,0.0001,500,3,99.16911120594776,99.28828583083174
chamaleon,LinkWIRE,1024,0.0001,1000,10,98.21219412067126,98.33235340799068
